"FBgn","KEGG"
"FBgn0001258","path:dme00010"
"FBgn0033969","path:dme00010"
"FBgn0035679","path:dme00010"
"FBgn0034356","path:dme00010"
"FBgn0030525","path:dme00010"
"FBgn0010548","path:dme00010"
"FBgn0037115","path:dme00010"
"FBgn0039635","path:dme00010"
"FBgn0001091","path:dme00010"
"FBgn0036723","path:dme00010"
"FBgn0033856","path:dme00010"
"FBgn0031463","path:dme00010"
"FBgn0014869","path:dme00010"
"FBgn0011270","path:dme00010"
"FBgn0000579","path:dme00010"
"dme:Dmel_CG17725","path:dme00010"
"FBgn0086355","path:dme00010"
"FBgn0037537","path:dme00010"
"FBgn0031462","path:dme00010"
"FBgn0001186","path:dme00010"
"FBgn0051075","path:dme00010"
"FBgn0250906","path:dme00010"
"FBgn0032820","path:dme00010"
"FBgn0043783","path:dme00010"
"FBgn0052445","path:dme00010"
"FBgn0042710","path:dme00010"
"FBgn0042711","path:dme00010"
"FBgn0000055","path:dme00010"
"FBgn0012036","path:dme00010"
"FBgn0003071","path:dme00010"
"FBgn0026061","path:dme00010"
"FBgn0026060","path:dme00010"
"FBgn0032372","path:dme00010"
"FBgn0003076","path:dme00010"
"FBgn0031912","path:dme00010"
"FBgn0039425","path:dme00010"
"FBgn0000064","path:dme00010"
"FBgn0011768","path:dme00010"
"FBgn0036402","path:dme00010"
"FBgn0028325","path:dme00010"
"FBgn0029722","path:dme00010"
"FBgn0038957","path:dme00010"
"FBgn0038952","path:dme00010"
"FBgn0267385","path:dme00010"
"FBgn0038258","path:dme00010"
"FBgn0036762","path:dme00010"
"FBgn0033377","path:dme00010"
"FBgn0001187","path:dme00010"
"FBgn0003074","path:dme00010"
"FBgn0001092","path:dme00010"
"FBgn0028540","path:dme00010"
"FBgn0034173","path:dme00010"
"FBgn0012034","path:dme00010"
"FBgn0036857","path:dme00010"
"FBgn0031451","path:dme00010"
"FBgn0039112","path:dme00020"
"FBgn0029118","path:dme00020"
"FBgn0004888","path:dme00020"
"FBgn0036327","path:dme00020"
"FBgn0036328","path:dme00020"
"FBgn0034356","path:dme00020"
"FBgn0010352","path:dme00020"
"FBgn0039635","path:dme00020"
"FBgn0037643","path:dme00020"
"FBgn0027291","path:dme00020"
"FBgn0037988","path:dme00020"
"FBgn0027580","path:dme00020"
"FBgn0261439","path:dme00020"
"dme:Dmel_CG17725","path:dme00020"
"FBgn0051874","path:dme00020"
"FBgn0052026","path:dme00020"
"FBgn0014028","path:dme00020"
"dme:Dmel_CG33791","path:dme00020"
"FBgn0035005","path:dme00020"
"FBgn0261955","path:dme00020"
"FBgn0028336","path:dme00020"
"FBgn0029890","path:dme00020"
"FBgn0037862","path:dme00020"
"FBgn0024958","path:dme00020"
"FBgn0039358","path:dme00020"
"FBgn0037891","path:dme00020"
"FBgn0031912","path:dme00020"
"FBgn0262782","path:dme00020"
"FBgn0036222","path:dme00020"
"FBgn0036162","path:dme00020"
"FBgn0038708","path:dme00020"
"FBgn0024957","path:dme00020"
"FBgn0038922","path:dme00020"
"FBgn0037860","path:dme00020"
"FBgn0037873","path:dme00020"
