,ID,Stage,Sex,Tissue,Abrev,notID,V7,V8,V9
1,1,'Adult','Male','Head','Hd',1001,'No',3,'Ed')
2,2,'Adult','Female','Head','Hd',1001,'No',3,'Ed')
3,3,'Adult','Male','Eye','Ey',1002,'No',2,'Ed')
4,4,'Adult','Female','Eye','Ey',1002,'No',2,'Ed')
5,5,'Adult','Male','Brain','Br',1003,'No',3,'Ed')
6,6,'Adult','Female','Brain','Br',1003,'No',3,'Ed')
7,7,'Adult','Male','Thoracicoabdominal ganglion','Tg',1004,'No',2,'Ed')
8,8,'Adult','Female','Thoracicoabdominal ganglion','Tg',1004,'No',2,'Ed')
9,9,'Adult','Male','Crop','Cr',1005,'No',2,'Ed')
10,10,'Adult','Female','Crop','Cr',1005,'No',2,'Ed')
11,11,'Adult','Male','Midgut','Mg',1006,'No',3,'Ed')
12,12,'Adult','Female','Midgut','Mg',1006,'No',3,'Ed')
13,13,'Adult','Male','Hindgut','Hg',1007,'No',3,'Ed')
14,14,'Adult','Female','Hindgut','Hg',1007,'No',3,'Ed')
15,15,'Adult','Male','Malpighian Tubules','Tu',1008,'No',3,'Ed')
16,16,'Adult','Female','Malpighian Tubules','Tu',1008,'No',3,'Ed')
17,17,'Adult','Male','Fat body','Fb',1009,'No',3,'Py')
18,18,'Adult','Female','Fat body','Fb',1009,'No',3,'Py')
19,19,'Adult','Male','Salivary gland','Sg',1010,'No',2,'Ed')
20,20,'Adult','Female','Salivary gland','Sg',1010,'No',2,'Ed')
21,21,'Adult','Male','Heart','Ht',1011,'No',0,NULL)
22,22,'Adult','Female','Heart','Ht',1011,'No',0,NULL)
23,23,'Adult','Male','Carcass','Cs',1012,'No',3,'Ed')
24,24,'Adult','Female','Carcass','Cs',1012,'No',3,'Ed')
25,25,'Adult','Male','Rectal pad','Rp',1013,'No',3,'Ed')
26,26,'Adult','Female','Rectal pad','Rp',1013,'No',2,'Ed')
27,27,'Adult','Male','Testis','Ts',1014,'No',3,'Ed')
28,28,'Adult','Male','Accessory glands','Ag',1015,'No',3,'Ed')
29,29,'Adult','Female','Ovary','Ov',1016,'No',3,'Ed')
30,30,'Adult','Female','Virgin Spermatheca','Vs',1017,'No',3,'Py')
31,31,'Adult','Female','Mated Spermatheca','Ms',1018,'No',3,'Py')
32,32,'Larval','Both','CNS','Ns',1003,'No',3,'Ed')
33,33,'Larval','Both','Midgut','Mg',1006,'No',3,'Ed')
34,34,'Larval','Both','Hindgut','Hg',1007,'No',3,'Ed')
35,35,'Larval','Both','Malpighian Tubules','Tu',1008,'No',3,'Ed')
36,36,'Larval','Both','Fat body','Fb',1009,'No',3,'Ed')
37,37,'Larval','Both','Salivary gland','Sg',1010,'No',3,'Ed')
38,38,'Larval','Both','Trachea','Tr',1019,'No',3,'Ed')
39,39,'Larval','Both','Carcass','Cs',1012,'No',3,'Ed')
40,100,'Adult','Male','Whole body','Wb',1020,'Yes',3,'Ed')
41,200,'Adult','Female','Whole body','Wb',1020,'Yes',3,'Ed')
42,300,'Larval','Both','Whole body','Wb',1020,'Yes',3,'Ed');
