"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0000003","FBgn0000003",0.913929913495048,0.999999999513654,-47.7378729272424,-48.4841393360317,7,2,372.398543851663,0,0,FALSE
"FBgn0000008","FBgn0000008",0.00244289052898268,0.0139396072034818,-47.8857507099368,-57.1056257039668,7,2,773.416110201097,0,0,FALSE
"FBgn0000014","FBgn0000014",0.389150027310391,0.861553936758358,-48.5339263876016,-51.1459656118456,7,2,951.327262749756,0,0,FALSE
"FBgn0000015","FBgn0000015",2.94913804188991e-06,4.0132925170636e-05,-48.6762840501454,-65.4427334583886,7,2,707.30336345535,0,0,FALSE
"FBgn0000017","FBgn0000017",0.763899707056176,0.999999999513654,-56.1287486674544,-57.4204028449148,7,2,2817.3278191689,0,0,FALSE
"FBgn0000018","FBgn0000018",0.788563147125852,0.999999999513654,-40.8711951000495,-42.0809569711271,7,2,447.187555601283,0,0,FALSE
"FBgn0000024","FBgn0000024",0.717829422287827,0.999999999513654,-40.8249660747907,-42.2670781402146,7,2,204.13458868759,0,0,FALSE
"FBgn0000028","FBgn0000028",0.0117686440638134,0.0545863937812449,-37.8608526282141,-45.2062399582011,7,2,166.900925865657,0,0,FALSE
"FBgn0000032","FBgn0000032",0.969687786752521,0.999999999513654,-45.0627006788347,-45.5163719484372,7,2,720.750741540806,0,0,FALSE
"FBgn0000036","FBgn0000036",0.616845657638014,0.999999999513654,-27.8711691883851,-29.6428208391811,7,2,23.0656430041388,0,0,FALSE
"FBgn0000037","FBgn0000037",0.594630636945626,0.999999999513654,-30.450228015527,-32.2959738493752,7,2,56.7265270289721,0,0,FALSE
"FBgn0000038","FBgn0000038",0.634040330624126,0.999999999513654,-33.1712364692538,-34.8861201732713,7,2,39.4682463404809,0,0,FALSE
"FBgn0000042","FBgn0000042",0.0128033667206175,0.0587436252256903,-78.0971074407992,-85.339775951444,7,2,24490.260844997,0,0,FALSE
"FBgn0000043","FBgn0000043",0.889731761690494,0.999999999513654,-66.943124620407,-67.7898183898496,7,2,4236.79568713297,0,0,FALSE
"FBgn0000044","FBgn0000044",0.00161727865040094,0.0096533473749209,-79.5585256802182,-89.2595422956515,7,2,31275.0498757997,0,0,FALSE
"FBgn0000045","FBgn0000045",0.710278403948989,0.999999999513654,-74.6097282894172,-76.07634576613,7,2,9221.0125110197,0,0,FALSE
"FBgn0000046","FBgn0000046",0.0247002450342783,0.101609145480317,-68.8267531217774,-75.2580886196865,7,2,9983.29465485115,0,0,FALSE
"FBgn0000047","FBgn0000047",0.892961867297941,0.999999999513654,-63.0456716255028,-63.8794482755123,7,2,1175.00478162603,0,0,FALSE
"FBgn0000052","FBgn0000052",2.30738476152949e-06,3.23103088156974e-05,-61.8413863990548,-78.875641701378,7,2,4059.16382318545,0,0,FALSE
"FBgn0000053","FBgn0000053",3.7402801210308e-07,7.54685050933636e-06,-69.6179480983988,-88.627431641172,7,2,9673.42113078592,0,0,FALSE
"FBgn0000054","FBgn0000054",1.44106687978983e-07,3.54022096801702e-06,-44.2547882000953,-64.2931747387302,7,2,815.916711302617,0,0,FALSE
"FBgn0000055","FBgn0000055",0.710535625532058,0.999999999513654,-49.3020729123744,-50.7678559082665,7,2,1156.20202648915,0,0,FALSE
"FBgn0000057","FBgn0000057",0.676589958752346,0.999999999513654,-54.0425984295305,-55.6185176246966,7,2,2300.57792893381,0,0,FALSE
"FBgn0000061","FBgn0000061",0.719129913717024,0.999999999513654,-21.5838279682317,-23.0217173919841,7,2,7.4986423958317,0,0,FALSE
"FBgn0000063","FBgn0000063",0.0459061379253528,0.169253198885918,-38.9695209487822,-44.6150173785877,7,2,136.765741831757,0,0,FALSE
"FBgn0000064","FBgn0000064",0.868515923692188,0.999999999513654,-81.3305668463622,-82.2592205684461,7,2,59649.2205092967,0,0,FALSE
"FBgn0000071","FBgn0000071",0.994151216318518,0.999999999513654,-19.7607405134171,-19.9808159753318,7,2,4.66143121455732,0,0,FALSE
"FBgn0000075","FBgn0000075",0.963734444996972,0.999999999513654,-26.3087234772289,-26.8014253762841,7,2,20.7884623995736,0,0,FALSE
"FBgn0000077","FBgn0000077",0.476468692242692,0.973871127933792,-43.7853842096932,-46.048172491766,7,2,455.206477469047,0,0,FALSE
"FBgn0000078","FBgn0000078",0.859832445687012,0.999999999513654,-86.0579288202579,-87.0189166930473,7,2,20443.8430669214,0,0,FALSE
"FBgn0000079","FBgn0000079",0.854179438213356,0.999999999513654,-90.4614280204933,-91.4431513130969,7,2,35341.5346825213,0,0,FALSE
"FBgn0000083","FBgn0000083",0.000324611219027669,0.00230737609139312,-63.504539068296,-75.0489790518249,7,2,5926.89363262329,0,0,FALSE
"FBgn0000084","FBgn0000084",0.0520001735142743,0.187428167238194,-57.7861416627998,-63.2705899173001,7,2,3055.62530592426,0,0,FALSE
"FBgn0000092","FBgn0000092",0.954794664353485,0.999999999513654,-29.2231672947276,-29.76925079139,7,2,33.1697699030338,0,0,FALSE
"FBgn0000094","FBgn0000094",0.985607217529963,0.999999999513654,-77.7984734195665,-78.1233987830863,7,2,7482.48974525641,0,0,FALSE
"FBgn0000097","FBgn0000097",0.943638136553324,0.999999999513654,-51.1297555211104,-51.736183204836,7,2,972.841330985225,0,0,FALSE
"FBgn0000099","FBgn0000099",9.24855699854402e-13,2.27206216930898e-10,-45.0804893438298,-77.7815668675396,7,2,800.142741459083,0,0,FALSE
"FBgn0000100","FBgn0000100",0.560709845664586,0.999999999513654,-78.3528370936214,-80.3138029198008,7,2,52404.0132719976,0,0,FALSE
"FBgn0000108","FBgn0000108",0.796676145562026,0.999999999513654,-38.2768104778336,-39.4593054286205,7,2,193.240837349989,0,0,FALSE
"FBgn0000109","FBgn0000109",0.895552695826586,0.999999999513654,-44.6936346403467,-45.5169536121078,7,2,671.44753606612,0,0,FALSE
"FBgn0000114","FBgn0000114",0.00236385356739013,0.0135437976694615,-68.295882095588,-77.5542608825087,7,2,6254.47112454445,0,0,FALSE
"FBgn0000115","FBgn0000115",0.0608048696458373,0.212490788532733,-48.3291071387341,-53.6097887906463,7,2,1275.08328663369,0,0,FALSE
"FBgn0000116","FBgn0000116",0.460804320177295,0.956230423153921,-75.8986733558784,-78.2208516420427,7,2,28899.8433704345,0,0,FALSE
"FBgn0000117","FBgn0000117",0.0219865043020374,0.0920621282748897,-58.6278393711855,-65.2043340630718,7,2,5193.49431884766,0,0,FALSE
"FBgn0000119","FBgn0000119",0.976269908772498,0.999999999513654,-50.0482733366062,-50.4542095599,7,2,927.088464132709,0,0,FALSE
"FBgn0000137","FBgn0000137",0.937652630520965,0.999999999513654,-19.0655823869853,-19.7022439029618,7,2,3.72460436584302,0,0,FALSE
"FBgn0000139","FBgn0000139",0.731653073100186,0.999999999513654,-49.2090830273801,-50.6062626155207,7,2,1345.41454891136,0,0,FALSE
"FBgn0000140","FBgn0000140",3.78257397601123e-05,0.000343944047961593,-46.3675004830107,-60.3247762902427,7,2,378.170002283086,0,0,FALSE
"FBgn0000146","FBgn0000146",0.000176840082910021,0.00133781290166884,-40.0769620942577,-52.3085455935014,7,2,138.598752450282,0,0,FALSE
"FBgn0000147","FBgn0000147",1.95544614265151e-06,2.81999097173523e-05,-45.4666195495845,-62.6812797090219,7,2,390.176448440417,0,0,FALSE
"FBgn0000150","FBgn0000150",0.415132681141468,0.896167196342862,-73.4790658304331,-75.982130215198,7,2,25557.5925495003,0,0,FALSE
"FBgn0000152","FBgn0000152",0.916209524882375,0.999999999513654,-34.6356146202589,-35.3719164582705,7,2,155.752313647313,0,0,FALSE
"FBgn0000153","FBgn0000153",0.00689758771404879,0.034639681075908,-51.5803555701723,-59.5710192726764,7,2,605.534235150908,0,0,FALSE
"FBgn0000157","FBgn0000157",0.55701774247173,0.999999999513654,-34.0843749012365,-36.0580609679342,7,2,105.924956013852,0,0,FALSE
"FBgn0000158","FBgn0000158",0.0315756727344258,0.124594321211682,-29.604005211202,-35.7267038552067,7,2,31.364214634715,0,0,FALSE
"FBgn0000163","FBgn0000163",0.997324054883423,0.999999999513654,-59.245958535403,-59.4041377928553,7,2,3136.8420039644,0,0,FALSE
