"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0000003","FBgn0000003",0.230832087005197,0.815424246804687,-55.047787361896,-58.4805689559952,7,2,563.902390692405,0,0,FALSE
"FBgn0000008","FBgn0000008",0.000644161333205325,0.0126333209367985,-46.6982617805843,-57.4612114900671,7,2,870.352647112142,0,0,FALSE
"FBgn0000014","FBgn0000014",0.967084535235313,1,-51.7955324951364,-52.2666798923699,7,2,1053.28354271039,0,0,FALSE
"FBgn0000015","FBgn0000015",0.0421093535177482,0.253506997983245,-48.278991809856,-54.0353826949687,7,2,716.549900899175,0,0,FALSE
"FBgn0000017","FBgn0000017",0.914011704748035,1,-53.1936764297185,-53.9395870600436,7,2,2931.15191509264,0,0,FALSE
"FBgn0000018","FBgn0000018",0.852009235923337,1,-41.4223804246546,-42.4120034222764,7,2,493.829942241861,0,0,FALSE
"FBgn0000024","FBgn0000024",0.393357653313737,1,-37.879875884668,-40.473928911836,7,2,252.437976119563,0,0,FALSE
"FBgn0000028","FBgn0000028",0.955078027056115,1,-38.8720653839563,-39.416535026297,7,2,217.211436472919,0,0,FALSE
"FBgn0000032","FBgn0000032",0.595447593729811,1,-43.8131290405513,-45.656132900156,7,2,813.282085425665,0,0,FALSE
"FBgn0000036","FBgn0000036",0.976615594426052,1,-28.23394770258,-28.6372078609209,7,2,33.110962970348,0,0,FALSE
"FBgn0000037","FBgn0000037",0.686657878447441,1,-32.1378877310537,-33.6811185567066,7,2,70.6572539705989,0,0,FALSE
"FBgn0000038","FBgn0000038",0.0714627179864388,0.373560529953284,-33.7433734147872,-38.8115487934245,7,2,85.9576943042714,0,0,FALSE
"FBgn0000042","FBgn0000042",0.0160006378350213,0.127959412680642,-78.7574148689121,-85.7269868473786,7,2,26846.0143704325,0,0,FALSE
"FBgn0000043","FBgn0000043",0.0989707308569608,0.464439391484592,-65.2202665699826,-69.8524785013769,7,2,5292.19818494977,0,0,FALSE
"FBgn0000044","FBgn0000044",0.00590738450355439,0.0650323154113774,-74.6850726269055,-82.8611476983607,7,2,27970.5266092128,0,0,FALSE
"FBgn0000045","FBgn0000045",0.0155545673005079,0.125499136813152,-68.1678876115584,-75.1722123050683,7,2,8923.64971860884,0,0,FALSE
"FBgn0000046","FBgn0000046",0.0182575624815488,0.141170981462798,-64.0430398636011,-70.8499667521318,7,2,10014.2644304263,0,0,FALSE
"FBgn0000047","FBgn0000047",0.808773946671245,1,-60.9376204287074,-62.07907435929,7,2,1001.32505502882,0,0,FALSE
"FBgn0000052","FBgn0000052",1.98463169974124e-08,1.59717228111934e-06,-60.2326878836372,-82.3979204175863,7,2,4385.36662605744,0,0,FALSE
"FBgn0000053","FBgn0000053",8.87665326578374e-08,6.06340369174486e-06,-66.0099045742601,-86.5695044913948,7,2,10601.5632221149,0,0,FALSE
"FBgn0000054","FBgn0000054",0.000397639412329904,0.00870022607946194,-44.8263326108818,-56.1401029982502,7,2,987.856684838112,0,0,FALSE
"FBgn0000055","FBgn0000055",0.0635521509279661,0.342606106942689,-47.3173892678288,-52.5401477475934,7,2,1223.76501765617,0,0,FALSE
"FBgn0000057","FBgn0000057",0.155440724840781,0.634134956306002,-50.8439854522582,-54.8512134678707,7,2,2500.67865776779,0,0,FALSE
"FBgn0000061","FBgn0000061",0.994754652892435,1,-22.8933027710299,-23.1034071049451,7,2,8.39375253894402,0,0,FALSE
"FBgn0000063","FBgn0000063",0.998386728856688,1,-39.4981661094304,-39.6262643980123,7,2,195.305624389044,0,0,FALSE
"FBgn0000064","FBgn0000064",0.169239046040787,0.671734987729813,-80.1712050027714,-84.0573558985134,7,2,61158.6477431407,0,0,FALSE
"FBgn0000071","FBgn0000071",0.865830482639131,1,-20.7504292903679,-21.6891487951245,7,2,6.96178392805851,0,0,FALSE
"FBgn0000075","FBgn0000075",0.992106875621953,1,-25.9290163855635,-26.1792404467096,7,2,22.5181071850508,0,0,FALSE
"FBgn0000077","FBgn0000077",0.348387884865349,1,-39.8840865848124,-42.6781095466497,7,2,445.355670592058,0,0,FALSE
"FBgn0000078","FBgn0000078",0.611716535220339,1,-87.026296552368,-88.8149739838648,7,2,26189.3076619902,0,0,FALSE
"FBgn0000079","FBgn0000079",0.600898525116314,1,-91.5245223279472,-93.3492663663379,7,2,45740.5366755324,0,0,FALSE
"FBgn0000083","FBgn0000083",0.0181152435283466,0.140458336172446,-58.1722215941884,-64.9888160894211,7,2,5424.59346433638,0,0,FALSE
"FBgn0000084","FBgn0000084",0.887142993677293,1,-52.8921319350375,-53.7490857642189,7,2,2910.28830061258,0,0,FALSE
"FBgn0000092","FBgn0000092",0.902417071144346,1,-27.5226982204355,-28.3178598294338,7,2,33.8170698392066,0,0,FALSE
"FBgn0000094","FBgn0000094",0.00180151364940046,0.0273607327901894,-63.8634521802948,-73.4389650569741,7,2,7036.10463127057,0,0,FALSE
"FBgn0000097","FBgn0000097",0.990561240167931,1,-50.8458844488433,-51.1161834589685,7,2,1109.06624376347,0,0,FALSE
"FBgn0000099","FBgn0000099",8.16301096529845e-13,1.37718846442258e-10,-42.5716266666816,-75.4033602506517,7,2,865.920517949738,0,0,FALSE
"FBgn0000100","FBgn0000100",0.529482356461379,1,-75.5774631755153,-77.6473156740051,7,2,51383.3933141235,0,0,FALSE
"FBgn0000108","FBgn0000108",0.943391403558299,1,-38.1874416098934,-38.7951417894157,7,2,249.207496985481,0,0,FALSE
"FBgn0000109","FBgn0000109",0.261561746067673,0.876441524332527,-41.0283742648264,-44.272512753754,7,2,604.915699695995,0,0,FALSE
"FBgn0000114","FBgn0000114",0.106643461033003,0.48833498523386,-61.9190268336051,-66.4496830386879,7,2,8302.42964992666,0,0,FALSE
"FBgn0000115","FBgn0000115",0.66326215675172,1,-45.8568854610456,-47.476159866541,7,2,1234.05927290435,0,0,FALSE
"FBgn0000116","FBgn0000116",0.84994897886868,1,-69.2965407150277,-70.2936335321851,7,2,29539.7165101407,0,0,FALSE
"FBgn0000117","FBgn0000117",0.596720404264788,1,-59.518333770028,-61.3570684439993,7,2,5625.14516343573,0,0,FALSE
"FBgn0000119","FBgn0000119",0.260419635700721,0.874497879788295,-48.0610631724258,-51.3118756584985,7,2,1169.47830102369,0,0,FALSE
"FBgn0000137","FBgn0000137",0.533533337486806,1,-20.8871323040612,-22.9426839210918,7,2,7.0119246152708,0,0,FALSE
"FBgn0000139","FBgn0000139",0.905661135039652,1,-48.6551130094075,-49.4367222728313,7,2,1520.35567972451,0,0,FALSE
"FBgn0000140","FBgn0000140",0.839222766702875,1,-46.878468888328,-47.9140166143571,7,2,582.224333421465,0,0,FALSE
"FBgn0000146","FBgn0000146",0.943161743344537,1,-42.7186704902703,-43.327552981901,7,2,195.462562561791,0,0,FALSE
"FBgn0000147","FBgn0000147",0.976033961050427,1,-46.9689497549171,-47.3767014953391,7,2,556.886142826798,0,0,FALSE
"FBgn0000150","FBgn0000150",0.0511654831509831,0.292915069731486,-69.0933407510239,-74.598760704474,7,2,24518.4686153003,0,0,FALSE
"FBgn0000152","FBgn0000152",0.996990817646497,1,-36.2129418437784,-36.3790984433292,7,2,170.962375831717,0,0,FALSE
"FBgn0000153","FBgn0000153",9.17601380720297e-05,0.00281780090662858,-47.3549474887905,-60.3237117277552,7,2,594.676341807429,0,0,FALSE
