"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0000003","FBgn0000003",0.772478352329417,0.999999795904049,-48.6237705052692,-49.8870886720707,7,2,363.157274966851,0,0,FALSE
"FBgn0000008","FBgn0000008",0.961538744473393,0.999999795904049,-51.3531345468925,-51.859461255354,7,2,879.870939629202,0,0,FALSE
"FBgn0000014","FBgn0000014",0.160928037859089,0.443565824036017,-46.8191665330896,-50.777150268538,7,2,1048.78621976928,0,0,FALSE
"FBgn0000015","FBgn0000015",0.0450536593686226,0.197879968155412,-49.6373407657168,-55.3069594013819,7,2,750.462955033591,0,0,FALSE
"FBgn0000017","FBgn0000017",0.84635908411649,0.999999795904049,-54.7948906769263,-55.8049327748264,7,2,3171.93773150707,0,0,FALSE
"FBgn0000018","FBgn0000018",0.970114551326024,0.999999795904049,-40.5660774716434,-41.0168164179276,7,2,500.616042011599,0,0,FALSE
"FBgn0000024","FBgn0000024",0.139712974121572,0.402937397250309,-42.4232781265119,-46.5807340863236,7,2,233.089267300196,0,0,FALSE
"FBgn0000028","FBgn0000028",0.0855267544361285,0.291444540183663,-40.9301554017733,-45.7591487776438,7,2,181.988940137449,0,0,FALSE
"FBgn0000032","FBgn0000032",0.875651250490257,0.999999795904049,-41.9576455687201,-42.8592421783078,7,2,791.019039826948,0,0,FALSE
"FBgn0000036","FBgn0000036",0.555497637929104,0.945777957962465,-27.0250508214601,-29.0039852983816,7,2,23.9836873836954,0,0,FALSE
"FBgn0000037","FBgn0000037",0.673014211252951,0.999999795904049,-28.6586790209955,-30.24621919146,7,2,71.6861004607594,0,0,FALSE
"FBgn0000038","FBgn0000038",0.156167087990548,0.434635572658251,-30.5116468627588,-34.512268804969,7,2,58.5451376861195,0,0,FALSE
"FBgn0000042","FBgn0000042",0.0964516761022173,0.315875210793082,-78.0944464652566,-82.7615771252215,7,2,25586.8287850604,0,0,FALSE
"FBgn0000043","FBgn0000043",0.00161011171661734,0.0305899379322604,-62.2163063419047,-71.9224846117241,7,2,4318.16002856984,0,0,FALSE
"FBgn0000044","FBgn0000044",0.00659217975779162,0.0740206102394533,-77.0765533532919,-85.1214775718267,7,2,33495.0121065397,0,0,FALSE
"FBgn0000045","FBgn0000045",0.652754804951838,0.999999795904049,-72.6076212422961,-74.2611713974735,7,2,10462.7148112152,0,0,FALSE
"FBgn0000046","FBgn0000046",0.43778433902289,0.831176454889196,-63.1900356613527,-65.6018405432415,7,2,10050.6596320679,0,0,FALSE
"FBgn0000047","FBgn0000047",0.205739613281504,0.522730187836621,-52.7501464804818,-56.3533283237947,7,2,945.989545421567,0,0,FALSE
"FBgn0000052","FBgn0000052",2.5677543255698e-07,2.14010095634693e-05,-61.075223196729,-80.4909481300151,7,2,4499.38491781449,0,0,FALSE
"FBgn0000053","FBgn0000053",0.000160038785339156,0.00539967005378039,-70.192950206337,-82.5370276006852,7,2,9507.88289149638,0,0,FALSE
"FBgn0000054","FBgn0000054",1.06294462094078e-05,0.000545177677011456,-44.517648181111,-59.8785648351564,7,2,838.599472813507,0,0,FALSE
"FBgn0000055","FBgn0000055",0.667695779725657,0.999999795904049,-54.6721597350808,-56.2769985693324,7,2,1338.30896326879,0,0,FALSE
"FBgn0000057","FBgn0000057",0.599099488370355,0.981458078159435,-53.0640197351618,-54.8947835916047,7,2,2456.38468176437,0,0,FALSE
"FBgn0000061","FBgn0000061",0.847392049767604,0.999999795904049,-20.943590794506,-21.9499153016118,7,2,7.5528582873797,0,0,FALSE
"FBgn0000063","FBgn0000063",0.0357298486814326,0.174124496280851,-40.1800565969117,-46.1461157474398,7,2,174.655071381508,0,0,FALSE
"FBgn0000064","FBgn0000064",0.706710788464761,0.999999795904049,-85.0706584751144,-86.5488485897911,7,2,64600.2218885687,0,0,FALSE
"FBgn0000071","FBgn0000071",0.802054443966154,0.999999795904049,-20.7861152504412,-21.9504249675015,7,2,6.7055649482202,0,0,FALSE
"FBgn0000075","FBgn0000075",0.936072786213413,0.999999795904049,-23.8943610049984,-24.5387959266553,7,2,22.1614609839305,0,0,FALSE
"FBgn0000077","FBgn0000077",0.405856618964717,0.794851970232942,-44.0419769443848,-46.583387020075,7,2,456.622437123269,0,0,FALSE
"FBgn0000078","FBgn0000078",0.973150755650678,0.999999795904049,-84.7024054771772,-85.1316714900459,7,2,14935.0899349083,0,0,FALSE
"FBgn0000079","FBgn0000079",0.979123079599452,0.999999795904049,-89.0245688931187,-89.4077992573066,7,2,25477.5183556243,0,0,FALSE
"FBgn0000083","FBgn0000083",0.0709931739314389,0.260973069411396,-61.1422309881951,-66.2191249965087,7,2,5658.44752789037,0,0,FALSE
"FBgn0000084","FBgn0000084",0.856488426663629,0.999999795904049,-54.770469486628,-55.7437515303808,7,2,3019.82267082507,0,0,FALSE
"FBgn0000092","FBgn0000092",0.585792296858288,0.970911901113843,-27.5878429318834,-29.4633454180596,7,2,29.9477677663297,0,0,FALSE
"FBgn0000094","FBgn0000094",0.0482039671784901,0.206043406991253,-66.2689931603801,-71.8515182594779,7,2,8175.40833644905,0,0,FALSE
"FBgn0000097","FBgn0000097",0.023743161939385,0.141583423485173,-47.873028579347,-54.3537300269415,7,2,1104.0971384754,0,0,FALSE
"FBgn0000099","FBgn0000099",5.20558335407882e-21,3.83624095388482e-18,-43.7843785770751,-96.1707138872788,7,2,949.952426584512,0,0,FALSE
"FBgn0000100","FBgn0000100",0.72028319679228,0.999999795904049,-79.6343168217633,-81.0684609404832,7,2,48786.9989536064,0,0,FALSE
"FBgn0000108","FBgn0000108",0.0912964614351258,0.304582571602247,-38.9669425810152,-43.708225604323,7,2,229.731030454563,0,0,FALSE
"FBgn0000109","FBgn0000109",0.981857595078345,0.999999795904049,-45.4292290283158,-45.7891886886922,7,2,637.353404881686,0,0,FALSE
"FBgn0000114","FBgn0000114",0.122311335556015,0.368766603565108,-69.3724411224258,-73.7148982655834,7,2,7220.98760515541,0,0,FALSE
"FBgn0000115","FBgn0000115",0.403964319742494,0.792977485634993,-48.0733079611564,-50.6226145937267,7,2,1280.28113791104,0,0,FALSE
"FBgn0000116","FBgn0000116",0.638686588106938,0.999999795904049,-76.2840466145358,-77.9836636185209,7,2,30469.6659523614,0,0,FALSE
"FBgn0000117","FBgn0000117",0.669658998221007,0.999999795904049,-57.6600519850871,-59.2585031642519,7,2,5643.755039858,0,0,FALSE
"FBgn0000119","FBgn0000119",0.29006016217172,0.649284067353323,-46.9679242780973,-50.0527460280413,7,2,1134.56044022352,0,0,FALSE
"FBgn0000137","FBgn0000137",0.767078055911347,0.999999795904049,-18.8356558392617,-20.1168278529488,7,2,4.54190935609808,0,0,FALSE
"FBgn0000139","FBgn0000139",0.945955650833134,0.999999795904049,-47.0917030436807,-47.6860593097904,7,2,1297.65825143164,0,0,FALSE
"FBgn0000140","FBgn0000140",0.0924669650148568,0.30717021213239,-50.5202487513377,-55.2443634268001,7,2,539.25085980411,0,0,FALSE
"FBgn0000146","FBgn0000146",0.840340889268662,0.999999795904049,-44.6641932120247,-45.6957645211159,7,2,190.520305775454,0,0,FALSE
"FBgn0000147","FBgn0000147",0.0170668225987299,0.120746285338921,-49.0086113798848,-55.8987658010439,7,2,461.835342757058,0,0,FALSE
"FBgn0000150","FBgn0000150",0.893241146784015,0.999999795904049,-77.5138482838609,-78.3465018807852,7,2,24411.3542232261,0,0,FALSE
"FBgn0000152","FBgn0000152",0.805822283086007,0.999999795904049,-36.7781433396489,-37.929656499601,7,2,166.651918722241,0,0,FALSE
"FBgn0000153","FBgn0000153",0.000598969485531247,0.0155887931903504,-49.8704837225201,-60.7167184805316,7,2,736.05568892635,0,0,FALSE
"FBgn0000157","FBgn0000157",0.484124704600959,0.879487246395424,-34.4667279147997,-36.7009197586079,7,2,112.38383545057,0,0,FALSE
