"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0000003","FBgn0000003",0.846734866155253,0.999999985531946,-47.8635489252878,-48.8722393824371,7,2,346.637296264325,0,0,FALSE
"FBgn0000008","FBgn0000008",0.773376656242733,0.999999985531946,-48.8566352042654,-50.1169778424126,7,2,858.532237865695,0,0,FALSE
"FBgn0000014","FBgn0000014",0.189030613300299,0.375722174164873,-46.9755959896115,-50.7024003542139,7,2,1021.64789960731,0,0,FALSE
"FBgn0000015","FBgn0000015",0.541793688265596,0.826233899292736,-50.9770549447387,-53.0036147044153,7,2,699.970609415893,0,0,FALSE
"FBgn0000017","FBgn0000017",0.178431725603064,0.358579321251769,-54.2831370190555,-58.0933581745032,7,2,3299.39540841679,0,0,FALSE
"FBgn0000018","FBgn0000018",0.672193220212018,0.951316817566811,-39.3497668539629,-40.9399762159418,7,2,471.54030328618,0,0,FALSE
"FBgn0000024","FBgn0000024",0.109438784350485,0.240844454525485,-44.6232873334466,-49.1185985287367,7,2,224.065511455449,0,0,FALSE
"FBgn0000028","FBgn0000028",0.0807073153033396,0.187200326095646,-41.4461895109995,-46.3527431213578,7,2,172.521829875603,0,0,FALSE
"FBgn0000032","FBgn0000032",0.991624617486968,0.999999985531946,-42.5124402376424,-42.7691375988811,7,2,759.98396749744,0,0,FALSE
"FBgn0000036","FBgn0000036",0.461507092980346,0.738210991524942,-26.3641032039545,-28.6835905113983,7,2,24.9620959140989,0,0,FALSE
"FBgn0000037","FBgn0000037",0.988739227290718,0.999999985531946,-30.0713264345874,-30.3631555300127,7,2,64.6333370461469,0,0,FALSE
"FBgn0000038","FBgn0000038",0.00799509632088398,0.0260566442245569,-29.9320640226358,-37.745363045441,7,2,52.5712505454656,0,0,FALSE
"FBgn0000042","FBgn0000042",0.00188925578388597,0.00740730054051735,-81.547480403267,-91.067592945355,7,2,26746.5568338344,0,0,FALSE
"FBgn0000043","FBgn0000043",0.86226971860495,0.999999985531946,-68.8013245364335,-69.7532983119326,7,2,4235.33913754938,0,0,FALSE
"FBgn0000044","FBgn0000044",0.00589131963231868,0.0198805413767399,-77.8438372610424,-86.0231639305682,7,2,35764.024528036,0,0,FALSE
"FBgn0000045","FBgn0000045",0.253797957040143,0.472655652636213,-72.8322160063642,-76.1222040769948,7,2,12379.9546468329,0,0,FALSE
"FBgn0000046","FBgn0000046",0.473553237408547,0.751810735566058,-63.8632676232779,-66.1370181081575,7,2,10266.3848069377,0,0,FALSE
"FBgn0000047","FBgn0000047",0.000406894193182798,0.00192917735542898,-51.5094798573121,-62.7970589320978,7,2,1093.41692931343,0,0,FALSE
"FBgn0000052","FBgn0000052",6.62756672861303e-06,5.19064455192869e-05,-65.1196816677304,-80.9997647881891,7,2,4790.85615103278,0,0,FALSE
"FBgn0000053","FBgn0000053",1.26845774071826e-06,1.23588565259543e-05,-72.0141744865142,-89.6998957211616,7,2,10835.0661383364,0,0,FALSE
"FBgn0000054","FBgn0000054",0.0263575380298592,0.0730322362865739,-47.1111233030549,-53.4611592409267,7,2,907.69169516435,0,0,FALSE
"FBgn0000055","FBgn0000055",0.00385353935522677,0.013697233945806,-53.0924810908353,-61.7760862003951,7,2,1331.75799615146,0,0,FALSE
"FBgn0000057","FBgn0000057",0.106030811949841,0.23476516159125,-52.5332191223752,-57.0717346795879,7,2,2468.18837007395,0,0,FALSE
"FBgn0000061","FBgn0000061",0.880990853947401,0.999999985531946,-22.2614085081882,-23.1424365884462,7,2,8.76451046854613,0,0,FALSE
"FBgn0000063","FBgn0000063",0.000169666600024551,0.000897431834886189,-36.9178996617876,-49.1961615360844,7,2,156.626191491682,0,0,FALSE
"FBgn0000064","FBgn0000064",5.67337129306362e-07,6.215404653692e-06,-78.3379660588118,-96.8966919997453,7,2,66620.9576211224,0,0,FALSE
"FBgn0000071","FBgn0000071",0.695269212278644,0.970051244754688,-20.5564426112187,-22.0717388088702,7,2,7.16578165336835,0,0,FALSE
"FBgn0000075","FBgn0000075",0.998717453911833,0.999999985531946,-25.8576659156495,-25.9741480974546,7,2,18.5819563481045,0,0,FALSE
"FBgn0000077","FBgn0000077",0.0914505683436354,0.207890795158181,-41.1531874123098,-45.8921985301228,7,2,441.550830443558,0,0,FALSE
"FBgn0000078","FBgn0000078",0.458741847631118,0.735494981622228,-81.2293690703029,-83.5594596005586,7,2,12498.2365739,0,0,FALSE
"FBgn0000079","FBgn0000079",0.448886269148835,0.72464621865016,-85.3894396836742,-87.7576525104927,7,2,21351.3191027374,0,0,FALSE
"FBgn0000083","FBgn0000083",0.00708999905686013,0.0234175694255954,-61.1512848229744,-69.1089524256247,7,2,5295.86114138259,0,0,FALSE
"FBgn0000084","FBgn0000084",0.307252305995812,0.547307829039105,-53.3496357071395,-56.3443326605377,7,2,2954.25602272893,0,0,FALSE
"FBgn0000092","FBgn0000092",0.363205707712469,0.620908805089411,-29.6033157677339,-32.3294612842805,7,2,34.4611676020926,0,0,FALSE
"FBgn0000094","FBgn0000094",0.16882608047305,0.342719146397444,-69.7032024382035,-73.5928485213376,7,2,5561.26955640575,0,0,FALSE
"FBgn0000097","FBgn0000097",0.000214926590863324,0.0011044674656011,-46.5089831315953,-58.5204195375237,7,2,1031.54352495223,0,0,FALSE
"FBgn0000099","FBgn0000099",0.000325916858363232,0.00158113719124865,-47.9633169434234,-59.5031994406114,7,2,862.67457666105,0,0,FALSE
"FBgn0000100","FBgn0000100",0.00471735755509341,0.0163768220007098,-77.8560888714901,-86.3000441096052,7,2,50269.5644567364,0,0,FALSE
"FBgn0000108","FBgn0000108",0.0284705021597311,0.078057942729192,-39.1445072855717,-45.3977116998458,7,2,227.879963567483,0,0,FALSE
"FBgn0000109","FBgn0000109",0.190259261502487,0.377418520869413,-42.8089913173337,-46.5263904558041,7,2,621.150765101038,0,0,FALSE
"FBgn0000114","FBgn0000114",3.25848624679588e-07,3.8993218753324e-06,-62.3396951343476,-81.4981922997951,7,2,6579.90086394109,0,0,FALSE
"FBgn0000115","FBgn0000115",0.916288782968129,0.999999985531946,-46.0959991526394,-46.8319526964494,7,2,1176.17469653972,0,0,FALSE
"FBgn0000116","FBgn0000116",0.000422623779981983,0.00199230826381405,-69.3539019705924,-80.5982865197698,7,2,30994.2868368018,0,0,FALSE
"FBgn0000117","FBgn0000117",0.0860362882617955,0.197442070472611,-58.0068911128257,-62.8279222111862,7,2,5343.05473319621,0,0,FALSE
"FBgn0000119","FBgn0000119",0.0173989979227935,0.0511556845688854,-47.1212938066897,-53.9876812568632,7,2,1109.39377691863,0,0,FALSE
"FBgn0000137","FBgn0000137",0.357759144204227,0.613945497496556,-20.5578133696979,-23.3086650186342,7,2,6.37606842359107,0,0,FALSE
"FBgn0000139","FBgn0000139",0.151112359816641,0.313162248341148,-46.6606787899581,-50.7078494803296,7,2,1362.31520574601,0,0,FALSE
"FBgn0000140","FBgn0000140",4.60328605129723e-07,5.2741905077097e-06,-45.5485243836366,-64.3334931357814,7,2,473.209468634275,0,0,FALSE
"FBgn0000146","FBgn0000146",1.62301614319789e-07,2.11778648843557e-06,-36.3499852203471,-56.2603217920801,7,2,124.287811638879,0,0,FALSE
"FBgn0000147","FBgn0000147",5.98819787491279e-07,6.50937565579611e-06,-45.2182022422672,-63.7184341970049,7,2,423.579367590486,0,0,FALSE
"FBgn0000150","FBgn0000150",0.00189806338965897,0.00743350643877349,-71.1424166410529,-80.6571082845519,7,2,25055.6368108988,0,0,FALSE
"FBgn0000152","FBgn0000152",0.943792157666406,0.999999985531946,-34.0263470937117,-34.6319792212834,7,2,150.80603772498,0,0,FALSE
"FBgn0000153","FBgn0000153",5.27348905071681e-05,0.000317293168023576,-45.6671042609645,-59.2546292364865,7,2,701.403507458472,0,0,FALSE
"FBgn0000157","FBgn0000157",0.502886339692374,0.785640665256965,-32.3326078709656,-34.4978237491462,7,2,104.263298938164,0,0,FALSE
"FBgn0000158","FBgn0000158",0.0168844447645421,0.0497996863594594,-26.2678710628163,-33.1712648854453,7,2,27.7288805790596,0,0,FALSE
"FBgn0000163","FBgn0000163",0.0873686759981822,0.199942600956285,-54.478601960353,-59.2790163878546,7,2,3240.12676668096,0,0,FALSE
"FBgn0000166","FBgn0000166",0.780576508586693,0.999999985531946,-25.2601652249584,-26.4965960183802,7,2,23.0891411586084,0,0,FALSE
"FBgn0000173","FBgn0000173",0.000286437181429046,0.00141161808419151,-55.1174782409233,-66.8038525684681,7,2,3624.34188858113,0,0,FALSE
"FBgn0000179","FBgn0000179",0.898545606386965,0.999999985531946,-28.7985611374314,-29.6096863108691,7,2,41.0612927561681,0,0,FALSE
"FBgn0000180","FBgn0000180",0.730314288087416,0.997476377671633,-39.2303837201754,-40.6319203077695,7,2,86.6728285516656,0,0,FALSE
"FBgn0000181","FBgn0000181",0.525027571223874,0.808058813312681,-68.4001614082908,-70.4858056260762,7,2,17668.3137499012,0,0,FALSE
"FBgn0000182","FBgn0000182",0.00132380077494755,0.00544163965105952,-31.8579387539965,-41.7912784059435,7,2,92.8368007010592,0,0,FALSE
"FBgn0000183","FBgn0000183",0.000422572462080317,0.00199230826381405,-46.8595346452525,-58.1040575197702,7,2,1518.91216453891,0,0,FALSE
"FBgn0000206","FBgn0000206",0.841617597158657,0.999999985531946,-27.4442478521674,-28.4712699594957,7,2,27.6582597650766,0,0,FALSE
"FBgn0000210","FBgn0000210",0.243388417730817,0.457406877402574,-32.4379978082622,-35.7913144624796,7,2,82.2196203348715,0,0,FALSE
"FBgn0000212","FBgn0000212",0.0034641698098609,0.0125069214821719,-48.6386900118056,-57.4480748738857,7,2,2012.85888732948,0,0,FALSE
"FBgn0000221","FBgn0000221",0.88519017364348,0.999999985531946,-37.689507000995,-38.5541483822679,7,2,280.337781912478,0,0,FALSE
"FBgn0000228","FBgn0000228",0.0047341130361548,0.0164268442674605,-49.2085054169171,-57.6482496552135,7,2,1350.58807811825,0,0,FALSE
"FBgn0000229","FBgn0000229",0.854448565392141,0.999999985531946,-46.0282737682702,-47.0090151325353,7,2,881.502542987076,0,0,FALSE
"FBgn0000233","FBgn0000233",0.329762148611899,0.57701826966112,-22.9658472816491,-25.8483424252167,7,2,13.0245733836073,0,0,FALSE
"FBgn0000239","FBgn0000239",0.284664058775676,0.516668587881545,-55.0876266541897,-58.2016127013206,7,2,3164.30261220884,0,0,FALSE
"FBgn0000241","FBgn0000241",0.875561819271934,0.999999985531946,-28.2293334223981,-29.1312721028529,7,2,20.8317812691843,0,0,FALSE
"FBgn0000244","FBgn0000244",0.0933536996974086,0.211667230682335,-56.6584801284863,-61.3697212708215,7,2,4314.83254506001,0,0,FALSE
"FBgn0000246","FBgn0000246",0.455070451573171,0.7313839068739,-32.7077828886795,-35.052013473232,7,2,108.296999307457,0,0,FALSE
"FBgn0000247","FBgn0000247",0.693017168694828,0.968356624640348,-48.4198277891007,-49.942428141993,7,2,1718.61805926874,0,0,FALSE
"FBgn0000250","FBgn0000250",0.0036433625358562,0.0130495571410905,-52.6622503060103,-61.4121179065483,7,2,3548.7668410983,0,0,FALSE
"FBgn0000251","FBgn0000251",0.961607506422099,0.999999985531946,-57.3093240296348,-57.8152296116225,7,2,1748.80737106459,0,0,FALSE
"FBgn0000253","FBgn0000253",3.6578647548294e-07,4.29645674768175e-06,-66.5885274088456,-85.6220939689136,7,2,14557.8959217436,0,0,FALSE
"FBgn0000256","FBgn0000256",0.018840977735359,0.0548146864107286,-59.0928567593783,-65.8608968916167,7,2,5837.19571032607,0,0,FALSE
"FBgn0000257","FBgn0000257",0.195807539638461,0.385805161343581,-43.8874737057623,-47.5630449133752,7,2,752.835846138658,0,0,FALSE
"FBgn0000259","FBgn0000259",0.0727454819503485,0.171726436146827,-50.5310032463881,-55.575629041094,7,2,2390.54465516593,0,0,FALSE
"FBgn0000261","FBgn0000261",1.7992879598586e-14,1.66833316066094e-12,-82.7490551763463,-119.562426795317,7,2,140692.623558981,0,0,FALSE
"FBgn0000273","FBgn0000273",0.00207154236145082,0.00801427593331664,-57.3058394678896,-66.718510650225,7,2,3830.91265862538,0,0,FALSE
"FBgn0000274","FBgn0000274",0.00142489306718204,0.00579098050322664,-49.9002587628166,-59.7483089196251,7,2,849.346035943768,0,0,FALSE
"FBgn0000276","FBgn0000276",0.794573094805135,0.999999985531946,-61.3982420513377,-62.5878234515561,7,2,2086.05334189673,0,0,FALSE
"FBgn0000277","FBgn0000277",0.473449597491916,0.75173143734229,-49.5383709283333,-51.81251185401,7,2,485.403861625469,0,0,FALSE
"FBgn0000279","FBgn0000279",0.0577056037123322,0.141992294828886,-31.2098880267859,-36.5589346891412,7,2,51.745389846088,0,0,FALSE
