"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0000003","FBgn0000003",0.515663299244216,1,-105.412744047503,-108.023777207957,13,7,462.031846065579,0,0,0,FALSE
"FBgn0000008","FBgn0000008",0.445799456057314,1,-94.9876063340377,-97.8883141121353,13,7,817.343330654785,0,0,0,FALSE
"FBgn0000014","FBgn0000014",0.643974601286162,1,-100.232945099715,-102.353905902921,13,7,996.831642427506,0,0,0,FALSE
"FBgn0000015","FBgn0000015",0.465098179187337,1,-97.1567713888311,-99.9750911241332,13,7,709.195916328888,0,0,0,FALSE
"FBgn0000017","FBgn0000017",0.562682112385686,1,-108.855160991317,-111.282116961158,13,7,2864.98980489492,0,0,0,FALSE
"FBgn0000018","FBgn0000018",0.99746158199727,1,-78.9810432580413,-79.2457632399554,13,7,468.126885320367,0,0,0,FALSE
"FBgn0000024","FBgn0000024",0.399532711112286,1,-79.059167999576,-82.1667103236767,13,7,226.548674863002,0,0,0,FALSE
"FBgn0000028","FBgn0000028",0.0606148352651242,0.36786213887072,-76.1704923081603,-82.201149860818,13,7,190.716970074835,0,0,0,FALSE
"FBgn0000032","FBgn0000032",0.996450083961307,1,-86.6437210550983,-86.9422275821797,13,7,763.058894317467,0,0,0,FALSE
"FBgn0000036","FBgn0000036",0.628389524059409,1,-54.6394911088457,-56.8183438776632,13,7,27.8588137602135,0,0,0,FALSE
"FBgn0000037","FBgn0000037",0.948699131077502,1,-60.0970599925413,-60.9235106910862,13,7,63.2276433984297,0,0,0,FALSE
"FBgn0000038","FBgn0000038",0.00111867030830609,0.021224728989024,-68.1911954464271,-79.2860329077643,13,7,61.5360893984925,0,0,0,FALSE
"FBgn0000042","FBgn0000042",0.539603222104914,1,-156.117663274014,-158.634102346075,13,7,25505.4044666403,0,0,0,FALSE
"FBgn0000043","FBgn0000043",0.959031118380716,1,-132.759015299479,-133.512493601314,13,7,4723.09072642705,0,0,0,FALSE
"FBgn0000044","FBgn0000044",0.228713321548109,0.878890250776082,-155.670941460335,-159.73608086571,13,7,29605.2311141779,0,0,0,FALSE
"FBgn0000045","FBgn0000045",0.9114039440348,1,-145.565312170558,-146.609447143352,13,7,9061.16711437145,0,0,0,FALSE
"FBgn0000046","FBgn0000046",0.408230936431784,1,-134.283693697854,-137.351228714093,13,7,9969.71128733487,0,0,0,FALSE
"FBgn0000047","FBgn0000047",0.807566149576412,1,-124.042455929421,-125.547553494715,13,7,1090.91723132514,0,0,0,FALSE
"FBgn0000052","FBgn0000052",0.990989124952054,1,-122.45145056528,-122.87091317166,13,7,4208.29379119263,0,0,0,FALSE
"FBgn0000053","FBgn0000053",0.486506856156666,1,-137.325380931127,-140.054547882468,13,7,10105.3951216157,0,0,0,FALSE
"FBgn0000054","FBgn0000054",0.00221484132810797,0.0327657868690702,-84.7351348165754,-95.0070261867167,13,7,894.724960083388,0,0,0,FALSE
"FBgn0000055","FBgn0000055",0.961084303019144,1,-94.7684573510884,-95.506369185088,13,7,1185.61412184194,0,0,0,FALSE
"FBgn0000057","FBgn0000057",0.999242742704571,1,-104.995011998931,-105.167923243874,13,7,2391.59716964152,0,0,0,FALSE
"FBgn0000061","FBgn0000061",0.643569342354899,1,-42.0874323427073,-44.2098957257589,13,7,7.92056040483583,0,0,0,FALSE
"FBgn0000063","FBgn0000063",0.0322958177433489,0.228287903008639,-78.9187607034574,-85.8044948840032,13,7,164.439514106299,0,0,0,FALSE
"FBgn0000064","FBgn0000064",0.89210993092187,1,-161.521842286471,-162.662425244998,13,7,60248.8994131184,0,0,0,FALSE
"FBgn0000071","FBgn0000071",0.985165401208808,1,-37.4611705375072,-37.9670140675689,13,7,5.76415003440924,0,0,0,FALSE
"FBgn0000075","FBgn0000075",0.999383879581728,1,-49.1292998288802,-49.2902441482341,13,7,21.5747710260799,0,0,0,FALSE
"FBgn0000077","FBgn0000077",0.704032598535749,1,-83.6958498308437,-85.5946932094949,13,7,449.281478003138,0,0,0,FALSE
"FBgn0000078","FBgn0000078",0.993270461463738,1,-172.649178142161,-173.025772717811,13,7,23087.434217094,0,0,0,FALSE
"FBgn0000079","FBgn0000079",0.993121968530344,1,-181.556223646083,-181.935850079812,13,7,40136.9852479481,0,0,0,FALSE
"FBgn0000083","FBgn0000083",0.0637457607988834,0.381172107901207,-122.990555196934,-128.951247765223,13,7,5671.9543701954,0,0,0,FALSE
"FBgn0000084","FBgn0000084",0.100841718388787,0.5249392500365,-111.617006671483,-116.927198571411,13,7,2978.42605312047,0,0,0,FALSE
"FBgn0000092","FBgn0000092",0.976020332650583,1,-54.4621896627932,-55.0708521444562,13,7,33.377407125542,0,0,0,FALSE
"FBgn0000094","FBgn0000094",0.999189288314181,1,-151.119373274368,-151.296443315088,13,7,7258.98480166112,0,0,0,FALSE
"FBgn0000097","FBgn0000097",0.983725024233371,1,-101.708213252706,-102.232238336956,13,7,1034.42946266208,0,0,0,FALSE
"FBgn0000099","FBgn0000099",0.0836038355151784,0.460702849520146,-84.3315495756206,-89.9107274154706,13,7,828.284705380611,0,0,0,FALSE
"FBgn0000100","FBgn0000100",0.296030101412283,1,-154.231946694677,-157.870206903107,13,7,51802.8187157702,0,0,0,FALSE
"FBgn0000108","FBgn0000108",0.477390848105193,1,-74.4593408668079,-77.2261997944105,13,7,219.304420585561,0,0,0,FALSE
"FBgn0000109","FBgn0000109",0.0011172861078823,0.021224728989024,-83.7359455351462,-94.8322644138971,13,7,637.880201780913,0,0,0,FALSE
"FBgn0000114","FBgn0000114",0.0177859633758392,0.146763020124853,-134.262913562148,-141.931815293125,13,7,7216.69230941966,0,0,0,FALSE
"FBgn0000115","FBgn0000115",0.0308389118827227,0.221735848731377,-91.5793962956869,-98.5265689574164,13,7,1251.84105050709,0,0,0,FALSE
"FBgn0000116","FBgn0000116",0.692866381743565,1,-147.980859661476,-149.921027263083,13,7,29136.3811511406,0,0,0,FALSE
"FBgn0000117","FBgn0000117",0.789517620425208,1,-114.514726186223,-116.090820001502,13,7,5382.09186279413,0,0,0,FALSE
"FBgn0000119","FBgn0000119",0.583471522909516,1,-98.0755997902451,-100.423144344913,13,7,1039.25075243027,0,0,0,FALSE
"FBgn0000137","FBgn0000137",0.890508247029971,1,-38.1795983856891,-39.3278629326007,13,7,5.28325780717701,0,0,0,FALSE
"FBgn0000139","FBgn0000139",0.498106625640937,1,-94.9003484796232,-97.5820943537364,13,7,1425.07684828879,0,0,0,FALSE
"FBgn0000140","FBgn0000140",1.77834899415842e-05,0.00168258249764868,-94.4551693004904,-110.357680742208,13,7,474.652505181325,0,0,0,FALSE
"FBgn0000146","FBgn0000146",0.00827254315391646,0.0831589531832679,-83.3382071517103,-91.983506236541,13,7,165.468354741639,0,0,0,FALSE
"FBgn0000147","FBgn0000147",1.01026640995212e-05,0.00116915376351732,-93.0896330996504,-109.631638342726,13,7,469.031116296639,0,0,0,FALSE
"FBgn0000150","FBgn0000150",0.123831421033207,0.6008355470298,-143.429893269549,-148.439664879998,13,7,25005.8031507184,0,0,0,FALSE
"FBgn0000152","FBgn0000152",0.958078446189039,1,-67.4157244065852,-68.1762907693892,13,7,162.542485238367,0,0,0,FALSE
"FBgn0000153","FBgn0000153",0.99281564992855,1,-100.757182703387,-101.142942528637,13,7,598.912133076299,0,0,0,FALSE
"FBgn0000157","FBgn0000157",0.725263872948146,1,-65.4751567794074,-67.2951411033595,13,7,105.696283168217,0,0,0,FALSE
"FBgn0000158","FBgn0000158",0.0116103660070989,0.10640049423914,-60.3345784662169,-68.5509565255331,13,7,40.0964253039155,0,0,0,FALSE
"FBgn0000163","FBgn0000163",0.914703047404108,1,-116.091807635236,-117.118610328696,13,7,3321.52710691219,0,0,0,FALSE
"FBgn0000166","FBgn0000166",0.999952979579518,1,-49.0363751370153,-49.1030620962494,13,7,27.8022466718022,0,0,0,FALSE
"FBgn0000173","FBgn0000173",0.69186893685388,1,-111.616492967066,-113.560348818377,13,7,3504.65425930398,0,0,0,FALSE
"FBgn0000179","FBgn0000179",0.898275479386237,1,-54.6984365821889,-55.809021233124,13,7,36.6886342010649,0,0,0,FALSE
"FBgn0000180","FBgn0000180",0.633115690974221,1,-72.3386048098476,-74.4998765990773,13,7,93.4394786243461,0,0,0,FALSE
"FBgn0000181","FBgn0000181",0.744377984252197,1,-136.766215967445,-138.514681405299,13,7,18938.079777427,0,0,0,FALSE
"FBgn0000182","FBgn0000182",0.177820763671318,0.76077731551771,-70.5546731996525,-75.017342126857,13,7,97.2852237217101,0,0,0,FALSE
"FBgn0000183","FBgn0000183",0.987097014646077,1,-99.3224924922114,-99.8022995699969,13,7,1508.01417617801,0,0,0,FALSE
"FBgn0000206","FBgn0000206",0.979567904654373,1,-55.4623904724558,-56.0343085998828,13,7,31.0530648010768,0,0,0,FALSE
"FBgn0000210","FBgn0000210",0.94008400353451,1,-59.7078965988861,-60.5898357151522,13,7,77.2982254984991,0,0,0,FALSE
"FBgn0000212","FBgn0000212",0.961323372114621,1,-106.609914253574,-107.345986589116,13,7,1981.60675799003,0,0,0,FALSE
"FBgn0000221","FBgn0000221",0.815057755503383,1,-74.055871401923,-75.531023899885,13,7,293.747138240767,0,0,0,FALSE
"FBgn0000228","FBgn0000228",0.42816803690476,1,-97.3095525824276,-100.287415185657,13,7,1264.48671465469,0,0,0,FALSE
"FBgn0000229","FBgn0000229",0.958663700672659,1,-88.4445835730509,-89.2008053185135,13,7,936.147226053595,0,0,0,FALSE
"FBgn0000233","FBgn0000233",0.535124323740709,1,-46.0088105791389,-48.5428002878236,13,7,16.5291592215653,0,0,0,FALSE
"FBgn0000239","FBgn0000239",0.905093302937872,1,-104.402540781353,-105.479089643753,13,7,3242.42466181847,0,0,0,FALSE
"FBgn0000241","FBgn0000241",0.345310623879541,1,-53.5315996545582,-56.9028900775083,13,7,29.7043103289866,0,0,0,FALSE
"FBgn0000244","FBgn0000244",0.966715133186563,1,-113.913513821888,-114.606425427187,13,7,4520.10869650269,0,0,0,FALSE
"FBgn0000246","FBgn0000246",0.131249502717789,0.625557109107282,-63.609295018432,-68.5327418586658,13,7,114.449046673224,0,0,0,FALSE
"FBgn0000247","FBgn0000247",0.264613830737131,0.946181485494631,-100.23693686564,-104.063621629568,13,7,1560.94021286052,0,0,0,FALSE
"FBgn0000250","FBgn0000250",0.984891650563132,1,-111.238936241117,-111.748309803557,13,7,3523.68105218664,0,0,0,FALSE
"FBgn0000251","FBgn0000251",0.603372671831761,1,-112.263998538709,-114.536391346089,13,7,2106.40029599727,0,0,0,FALSE
"FBgn0000253","FBgn0000253",0.990275960832857,1,-131.490480456135,-131.921999539076,13,7,13255.2581202456,0,0,0,FALSE
"FBgn0000256","FBgn0000256",0.003289074076795,0.0426452817568152,-125.35112264585,-135.140870478783,13,7,6056.10243742687,0,0,0,FALSE
"FBgn0000257","FBgn0000257",0.99721552559734,1,-85.0154370589059,-85.2890471004062,13,7,791.131979810238,0,0,0,FALSE
"FBgn0000259","FBgn0000259",0.987617741839815,1,-104.988755841291,-105.461166909333,13,7,2417.40154984143,0,0,0,FALSE
"FBgn0000261","FBgn0000261",0.623124543808374,1,-170.064782412524,-172.263250527337,13,7,121985.135172806,0,0,0,FALSE
"FBgn0000273","FBgn0000273",0.675287362453464,1,-115.8483708804,-117.853502789615,13,7,3446.40718002669,0,0,0,FALSE
"FBgn0000274","FBgn0000274",1.81576525508518e-05,0.00170645374946025,-97.3239758570635,-113.202880178463,13,7,1014.54715280812,0,0,0,FALSE
"FBgn0000276","FBgn0000276",0.920984855128828,1,-131.437610265119,-132.430592793204,13,7,2877.13680635148,0,0,0,FALSE
"FBgn0000277","FBgn0000277",0.88402399188837,1,-109.263738790896,-110.442668478938,13,7,709.016480356934,0,0,0,FALSE
"FBgn0000279","FBgn0000279",0.417285499486964,1,-64.5405166709833,-67.5669886223284,13,7,33.5360469942612,0,0,0,FALSE
"FBgn0000283","FBgn0000283",0.655031071581932,1,-101.476668141182,-103.556679305027,13,7,1936.78782372326,0,0,0,FALSE
"FBgn0000286","FBgn0000286",0.858578749170209,1,-114.919841887095,-116.213463862969,13,7,3013.5997038882,0,0,0,FALSE
"FBgn0000287","FBgn0000287",0.0323901333836704,0.22872367008146,-108.524720483677,-115.406568235829,13,7,1539.07917903085,0,0,0,FALSE
"FBgn0000289","FBgn0000289",0.713671161557918,1,-96.2470597940043,-98.1101605546649,13,7,2052.26925833851,0,0,0,FALSE
"FBgn0000299","FBgn0000299",0.241175739245916,0.905241979937982,-132.320959230449,-136.300099550648,13,7,5856.49187154839,0,0,0,FALSE
"FBgn0000303","FBgn0000303",0.999469612668717,1,-55.0038823080597,-55.1566765472751,13,7,27.8352945971852,0,0,0,FALSE
"FBgn0000307","FBgn0000307",0.541348531240402,1,-93.7606401277601,-96.2702573502195,13,7,917.417874149405,0,0,0,FALSE
"FBgn0000308","FBgn0000308",0.910620045278292,1,-122.414868492496,-123.463081304185,13,7,7578.68799526775,0,0,0,FALSE
"FBgn0000316","FBgn0000316",0.632118111339385,1,-87.0698912334804,-89.234871945001,13,7,703.483027335085,0,0,0,FALSE
"FBgn0000317","FBgn0000317",0.889916177922246,1,-104.818796950874,-105.96988994878,13,7,1308.34688573931,0,0,0,FALSE
"FBgn0000318","FBgn0000318",0.957502561935572,1,-96.3282233782251,-97.0930349799126,13,7,2107.00389276879,0,0,0,FALSE
"FBgn0000319","FBgn0000319",0.913285683194719,1,-128.806141104752,-129.840424448695,13,7,8776.5477894687,0,0,0,FALSE
