"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0000003","FBgn0000003",0.854663511157851,1,-96.9277458680648,-98.2383501215244,13,7,355.018955258568,0,0,0,FALSE
"FBgn0000008","FBgn0000008",0.976233640924781,1,-100.550986595571,-101.15752740707,13,7,869.735907712624,0,0,0,FALSE
"FBgn0000014","FBgn0000014",0.502302713179356,1,-91.9471401099274,-94.6118732898145,13,7,1035.55232581695,0,0,0,FALSE
"FBgn0000015","FBgn0000015",0.930868272966403,1,-101.473725245834,-102.410992462902,13,7,725.709225089592,0,0,0,FALSE
"FBgn0000017","FBgn0000017",0.263857620830768,1,-106.589524684886,-110.420956536514,13,7,3239.5764075324,0,0,0,FALSE
"FBgn0000018","FBgn0000018",0.97798918912156,1,-74.9413002634445,-75.5299699813137,13,7,486.526116800514,0,0,0,FALSE
"FBgn0000024","FBgn0000024",0.9414713451076,1,-88.0534434211782,-88.9267178169554,13,7,228.807057993763,0,0,0,FALSE
"FBgn0000028","FBgn0000028",0.638556268659901,1,-82.8032031663861,-84.9442647903725,13,7,177.243989861272,0,0,0,FALSE
"FBgn0000032","FBgn0000032",0.992697686645015,1,-79.3438721308998,-79.7319524009044,13,7,775.819911989276,0,0,0,FALSE
"FBgn0000036","FBgn0000036",0.926960039987038,1,-50.7576872542677,-51.7173871459331,13,7,24.6057907341991,0,0,0,FALSE
"FBgn0000037","FBgn0000037",0.900620278462401,1,-54.0342142510689,-55.1332008703997,13,7,68.0585845834455,0,0,0,FALSE
"FBgn0000038","FBgn0000038",0.0286560729398434,0.847951892486457,-57.9877558007948,-65.0323278375384,13,7,55.7367437314258,0,0,0,FALSE
"FBgn0000042","FBgn0000042",0.837991657644792,1,-160.957911244199,-162.339239976472,13,7,26221.4147442249,0,0,0,FALSE
"FBgn0000043","FBgn0000043",0.873232752479062,1,-133.436310501318,-134.664882557676,13,7,4281.10954596331,0,0,0,FALSE
"FBgn0000044","FBgn0000044",0.492040803782762,1,-155.056612716061,-157.763083129726,13,7,34679.7387170415,0,0,0,FALSE
"FBgn0000045","FBgn0000045",0.49619304543487,1,-145.914877127709,-148.604405869356,13,7,11448.279951405,0,0,0,FALSE
"FBgn0000046","FBgn0000046",0.541892530992425,1,-125.440586162119,-127.948079000382,13,7,10170.3815711612,0,0,0,FALSE
"FBgn0000047","FBgn0000047",0.0814074756793794,0.932670185984772,-104.693571398627,-110.310581772592,13,7,1022.85161510144,0,0,0,FALSE
"FBgn0000052","FBgn0000052",0.934242110500317,1,-127.723627045144,-128.641059966089,13,7,4656.84043293365,0,0,0,FALSE
"FBgn0000053","FBgn0000053",0.661918710150968,1,-142.875805128009,-144.930341219343,13,7,10205.599815723,0,0,0,FALSE
"FBgn0000054","FBgn0000054",0.069746573083543,0.915881830159236,-90.555086328105,-96.3901315322995,13,7,874.437287080155,0,0,0,FALSE
