"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0000003","FBgn0000003",0.900421801225369,1,-96.9591282249764,-98.0591008156411,13,7,367.829940970529,0,0,0,FALSE
"FBgn0000008","FBgn0000008",0.417421765933814,1,-99.4344557304981,-102.460314088692,13,7,826.152789045412,0,0,0,FALSE
"FBgn0000014","FBgn0000014",0.41796969161886,1,-94.2417250119661,-97.2651174069433,13,7,999.72053623601,0,0,0,FALSE
"FBgn0000015","FBgn0000015",0.0229858634184724,0.307892469912679,-98.5237018314278,-105.858632889299,13,7,729.11606519525,0,0,0,FALSE
"FBgn0000017","FBgn0000017",0.616828158689654,1,-109.628161303398,-111.850133355847,13,7,2993.13196872896,0,0,0,FALSE
"FBgn0000018","FBgn0000018",0.385058817763117,1,-76.9969975173396,-80.1724101281527,13,7,473.541884482196,0,0,0,FALSE
"FBgn0000024","FBgn0000024",0.715650556918876,1,-83.2072030210901,-85.0629528264826,13,7,218.375088912164,0,0,0,FALSE
"FBgn0000028","FBgn0000028",0.517134646046266,1,-78.9654057931427,-81.5705670370921,13,7,174.427894392332,0,0,0,FALSE
"FBgn0000032","FBgn0000032",0.718748488394765,1,-83.8223407976315,-85.6665771719085,13,7,755.416992292783,0,0,0,FALSE
"FBgn0000036","FBgn0000036",0.98168034700495,1,-53.5101180472427,-54.0584587220254,13,7,23.5567278083915,0,0,0,FALSE
"FBgn0000037","FBgn0000037",0.238522260956957,0.806769859946925,-55.5475967751073,-59.5447395427905,13,7,64.0945738288468,0,0,0,FALSE
"FBgn0000038","FBgn0000038",0.587099134382129,1,-65.2854608670444,-67.619248812824,13,7,48.8164968703614,0,0,0,FALSE
"FBgn0000042","FBgn0000042",0.34491027015446,0.960958717264803,-156.341132056386,-159.714474565804,13,7,25025.6245942726,0,0,0,FALSE
"FBgn0000043","FBgn0000043",0.364839421489776,0.981304631753453,-130.633655526771,-133.90684394732,13,7,4275.5838365377,0,0,0,FALSE
"FBgn0000044","FBgn0000044",0.612274948913256,1,-157.787387139535,-160.02639012873,13,7,32386.7866730427,0,0,0,FALSE
"FBgn0000045","FBgn0000045",0.984529429429581,1,-148.307838898474,-148.821828023911,13,7,9836.33262706626,0,0,0,FALSE
"FBgn0000046","FBgn0000046",0.17149182752339,0.683186361539125,-134.249262089517,-138.767906335935,13,7,10021.3877323949,0,0,0,FALSE
"FBgn0000047","FBgn0000047",0.924982896127193,1,-120.112183504619,-121.083025925603,13,7,1061.2701937314,0,0,0,FALSE
"FBgn0000052","FBgn0000052",0.839413516601311,1,-122.930833698806,-124.306222572437,13,7,4275.86838513981,0,0,0,FALSE
"FBgn0000053","FBgn0000053",0.939323618629142,1,-140.056887675614,-140.943535640942,13,7,9589.26585117604,0,0,0,FALSE
"FBgn0000054","FBgn0000054",0.126981491737432,0.601733275397382,-84.2579572880836,-89.2305260472579,13,7,826.632100545394,0,0,0,FALSE
"FBgn0000055","FBgn0000055",0.850928587947223,1,-104.781684445138,-106.108348592834,13,7,1246.0153673412,0,0,0,FALSE
"FBgn0000057","FBgn0000057",0.960462895730219,1,-104.900865015213,-105.64353137722,13,7,2377.40084362187,0,0,0,FALSE
"FBgn0000061","FBgn0000061",0.883870997564162,1,-39.6802396665277,-40.8598848782353,13,7,7.5268253629325,0,0,0,FALSE
"FBgn0000063","FBgn0000063",0.362475850316474,0.979461393689004,-79.2879002992657,-82.5727614308282,13,7,155.493979493794,0,0,0,FALSE
"FBgn0000064","FBgn0000064",0.703153317246275,1,-166.957290504699,-168.859390746342,13,7,62103.7917135532,0,0,0,FALSE
"FBgn0000071","FBgn0000071",0.803373058180604,1,-37.9071092775558,-39.4288379115643,13,7,5.69076878769804,0,0,0,FALSE
"FBgn0000075","FBgn0000075",0.984037828138558,1,-46.8749714027026,-47.3951279116404,13,7,21.4820569406688,0,0,0,FALSE
"FBgn0000077","FBgn0000077",0.666368074132362,1,-87.0331105914042,-89.0711996112875,13,7,455.851647089491,0,0,0,FALSE
"FBgn0000078","FBgn0000078",0.996907582608807,1,-171.299850909862,-171.583928712078,13,7,17704.3022609744,0,0,0,FALSE
"FBgn0000079","FBgn0000079",0.997073952127292,1,-180.244878536682,-180.52338518458,13,7,30437.2253419563,0,0,0,FALSE
"FBgn0000083","FBgn0000083",0.226416464065566,0.785557419799337,-124.614565224839,-128.695970458408,13,7,5795.2258553366,0,0,0,FALSE
"FBgn0000084","FBgn0000084",0.375147553147077,0.991961790103339,-112.307304969217,-115.530192617142,13,7,3038.15085223479,0,0,0,FALSE
"FBgn0000092","FBgn0000092",0.9629727587737,1,-54.7486960214997,-55.471915145191,13,7,31.5472602998356,0,0,0,FALSE
"FBgn0000094","FBgn0000094",0.885782093800416,1,-151.174834865456,-152.345516437069,13,7,7825.43596125725,0,0,0,FALSE
"FBgn0000097","FBgn0000097",0.307474605460008,0.912583064912355,-99.7778050266664,-103.351259939208,13,7,1037.91278898644,0,0,0,FALSE
"FBgn0000099","FBgn0000099",0.015864532523414,0.265072650834189,-85.3230692083686,-93.1396400242173,13,7,873.824861234791,0,0,0,FALSE
"FBgn0000100","FBgn0000100",0.522238412238356,1,-157.154959674883,-159.739814056504,13,7,50610.7735760169,0,0,0,FALSE
"FBgn0000108","FBgn0000108",0.0331705271526628,0.352323216878921,-75.7922635918674,-82.6423583366455,13,7,211.152915536776,0,0,0,FALSE
"FBgn0000109","FBgn0000109",0.880110096796064,1,-88.4642227644115,-89.6613471901323,13,7,654.376038624662,0,0,0,FALSE
"FBgn0000114","FBgn0000114",0.415311874458463,1,-138.012923186624,-141.048296532724,13,7,6734.56390779167,0,0,0,FALSE
"FBgn0000115","FBgn0000115",0.958314933904,1,-93.2558351117762,-94.0146496336583,13,7,1277.45371924832,0,0,0,FALSE
"FBgn0000116","FBgn0000116",0.925507496761432,1,-151.847846189803,-152.81574505984,13,7,29677.7356863465,0,0,0,FALSE
"FBgn0000117","FBgn0000117",0.007114649536944,0.177271241042396,-112.229254082427,-121.063793726877,13,7,5415.9648811743,0,0,0,FALSE
"FBgn0000119","FBgn0000119",0.19648716194801,0.728078785064297,-97.3907910255692,-101.69771966847,13,7,1029.64907756616,0,0,0,FALSE
"FBgn0000137","FBgn0000137",0.962748004871436,1,-36.1274352909212,-36.8524229356336,13,7,4.12328825832269,0,0,0,FALSE
"FBgn0000139","FBgn0000139",0.686503413519842,1,-92.9466143181033,-94.9103041752358,13,7,1321.43616751094,0,0,0,FALSE
"FBgn0000140","FBgn0000140",0.024165923442933,0.314201881124783,-97.401086448617,-104.670363186176,13,7,457.803306870145,0,0,0,FALSE
"FBgn0000146","FBgn0000146",0.0455674911787129,0.399550143378533,-85.2438649336243,-91.6662746387951,13,7,164.197314991968,0,0,0,FALSE
"FBgn0000147","FBgn0000147",0.0578190758609863,0.439305761954092,-95.0940702419499,-101.190093607749,13,7,425.5245240304,0,0,0,FALSE
"FBgn0000150","FBgn0000150",0.599572551274316,1,-152.0272005969,-154.313886487143,13,7,24988.7924788866,0,0,0,FALSE
"FBgn0000152","FBgn0000152",0.73511761575619,1,-68.6563240828264,-70.4395162905377,13,7,160.976746643854,0,0,0,FALSE
"FBgn0000153","FBgn0000153",0.929167275794202,1,-102.694250952888,-103.64135034327,13,7,670.372168102624,0,0,0,FALSE
"FBgn0000157","FBgn0000157",0.457974003377954,1,-66.3336154867109,-69.1821126755954,13,7,109.087269490423,0,0,0,FALSE
"FBgn0000158","FBgn0000158",0.168502146059371,0.676514496775407,-61.5590531355558,-66.1047579686876,13,7,35.9119219132063,0,0,0,FALSE
"FBgn0000163","FBgn0000163",0.517917388386746,1,-116.025899089833,-118.627939795245,13,7,3388.14802369058,0,0,0,FALSE
"FBgn0000166","FBgn0000166",0.942128007882729,1,-50.9479671762239,-51.8171064296158,13,7,26.3918987370985,0,0,0,FALSE
"FBgn0000173","FBgn0000173",0.635415296450216,1,-113.627473398868,-115.780199308658,13,7,3540.9542616193,0,0,0,FALSE
"FBgn0000179","FBgn0000179",0.42714865216932,1,-54.3949266002634,-57.3773093312841,13,7,39.048608387365,0,0,0,FALSE
"FBgn0000180","FBgn0000180",0.704791308049672,1,-71.8404192716703,-73.7364519323571,13,7,80.047107499653,0,0,0,FALSE
"FBgn0000181","FBgn0000181",0.570059473113974,1,-135.679362898913,-138.078020646286,13,7,18449.6219293166,0,0,0,FALSE
"FBgn0000182","FBgn0000182",0.0431571888680753,0.393397414826486,-71.5654974541787,-78.0616850653091,13,7,91.2183101307132,0,0,0,FALSE
"FBgn0000183","FBgn0000183",0.0318773018158912,0.34469332612195,-95.3563738302485,-102.259484148306,13,7,1549.71997176446,0,0,0,FALSE
"FBgn0000206","FBgn0000206",0.982268302733254,1,-54.488349986361,-55.0298616568884,13,7,29.9439605206157,0,0,0,FALSE
"FBgn0000210","FBgn0000210",0.770474489153798,1,-59.6686962664078,-61.3182590579662,13,7,77.3496672145071,0,0,0,FALSE
"FBgn0000212","FBgn0000212",0.068525040468033,0.468022981123729,-105.291033150157,-111.1508243,13,7,2032.88014038907,0,0,0,FALSE
"FBgn0000221","FBgn0000221",0.904886324507801,1,-72.1718848535656,-73.2494814035456,13,7,281.095387785707,0,0,0,FALSE
"FBgn0000228","FBgn0000228",0.155444558929319,0.661320752853421,-99.335309093518,-104.004288385179,13,7,1273.24672772743,0,0,0,FALSE
"FBgn0000229","FBgn0000229",0.973222908881911,1,-86.8745608622722,-87.5101523263996,13,7,902.069606838669,0,0,0,FALSE
"FBgn0000233","FBgn0000233",0.584753323629457,1,-46.0198390814585,-48.3625196456932,13,7,14.4556501083917,0,0,0,FALSE
"FBgn0000239","FBgn0000239",0.579829632083335,1,-104.370275158263,-106.731658712887,13,7,3170.54525670351,0,0,0,FALSE
"FBgn0000241","FBgn0000241",0.285139265424949,0.875615160909115,-50.3963729774358,-54.0981100250209,13,7,30.3785970558286,0,0,0,FALSE
"FBgn0000244","FBgn0000244",0.678876348122848,1,-116.420412746892,-118.412284991799,13,7,4459.45564865793,0,0,0,FALSE
