"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0000003","FBgn0000003",0.363380583130988,0.593077744599392,-105.019335773706,-108.299722518232,13,7,448.434697018416,0,0,0,FALSE
"FBgn0000008","FBgn0000008",0.266830936766897,0.474075515930614,-95.7537591671887,-99.5665877358862,13,7,863.813247080799,0,0,0,FALSE
"FBgn0000014","FBgn0000014",0.609830657124785,0.843653298924952,-100.003835649124,-102.251993988379,13,7,1036.11399189433,0,0,0,FALSE
"FBgn0000015","FBgn0000015",0.192968052241942,0.373056276725583,-100.275101079316,-104.610402701482,13,7,707.617258451675,0,0,0,FALSE
"FBgn0000017","FBgn0000017",6.2096464486134e-08,9.71549488490876e-07,-105.719071108082,-127.90986952522,13,7,3123.00833233689,0,0,0,FALSE
"FBgn0000018","FBgn0000018",0.901526019206885,1,-77.2439487549445,-78.338425774997,13,7,481.781345474676,0,0,0,FALSE
"FBgn0000024","FBgn0000024",0.71520623186526,0.928477376717861,-86.4715173815721,-88.3289176511558,13,7,237.000926699398,0,0,0,FALSE
"FBgn0000028","FBgn0000028",0.183264513886543,0.359029348301833,-82.1545398466171,-86.5704086166777,13,7,193.714183349626,0,0,0,FALSE
"FBgn0000032","FBgn0000032",0.846379161867016,1,-82.7074654083774,-84.0535169685152,13,7,784.601238183317,0,0,0,FALSE
"FBgn0000036","FBgn0000036",0.427720107371494,0.667231514772771,-51.4674480868394,-54.4472960593781,13,7,28.9081677940909,0,0,0,FALSE
"FBgn0000037","FBgn0000037",0.974539738866338,1,-59.2515786353273,-59.8746934971279,13,7,67.411311388824,0,0,0,FALSE
"FBgn0000038","FBgn0000038",7.71386682368788e-05,0.000534210074837296,-62.1197557814824,-76.3469889444462,13,7,68.5012963450938,0,0,0,FALSE
"FBgn0000042","FBgn0000042",0.128788464829503,0.275158025822504,-160.692565949971,-165.644161903062,13,7,26731.8192384602,0,0,0,FALSE
"FBgn0000043","FBgn0000043",0.361866699431418,0.591629197747515,-135.285893710644,-138.573771834903,13,7,4725.4213222062,0,0,0,FALSE
"FBgn0000044","FBgn0000044",1.90648459924795e-07,2.60199842526989e-06,-152.894602705432,-173.854827301812,13,7,32094.481949021,0,0,0,FALSE
"FBgn0000045","FBgn0000045",8.15545713061895e-06,7.31587868033678e-05,-141.896111248769,-158.679470744675,13,7,10752.0741522643,0,0,0,FALSE
"FBgn0000046","FBgn0000046",0.000396162048247839,0.00225140306883705,-126.437616461647,-138.763133904621,13,7,10143.0922525906,0,0,0,FALSE
"FBgn0000047","FBgn0000047",0.458686936152409,0.700206384709711,-118.779801317965,-121.625266448018,13,7,1048.64257550775,0,0,0,FALSE
