Sample,Genotype,Time,Treate,Replicate,S6,Actin,S6/Actin,S6 Rep Mean,Actin Rep Mean,Norm S6,Norm Actin,Norm S6/Actin,Refed vs Fasted pval,Norm Refed vs Fasted pvalue,Control vs Rapa pvalue,Norm Control vs Fasted pvalue
000HC1,OO,0H,C,1,0.314356929,9.751319648,0.032237373,0.507095381,5.244998371,0.619916768,1.859165429,0.333438196,,,,
000HC1,OO,0H,C,2,0.085342334,1.109088741,0.076948156,0.327406782,1.091688855,0.260661471,1.015938503,0.256572096,,,,
000HC1,OO,0H,C,3,0.786833856,6.720617262,0.117077617,0.839241219,3.848276412,0.937553874,1.746396709,0.536850459,,,,
001HC1,OO,1H,C,1,1.011266201,4.901466276,0.206319119,,,1.994232723,0.934502917,2.134003744,0.033683252,0.005595212,0.023911136,0.003400444
001HC1,OO,1H,C,2,0.516031823,0.988236697,0.522174317,,,1.576118304,0.90523659,1.741112016,,,,
001HC1,OO,1H,C,3,1.180853629,4.63861475,0.254570317,,,1.407049133,1.205374628,1.167312718,,,,
001HR1,OO,1H,R,1,0.119641077,5.761290323,0.020766368,,,0.23593407,1.098435102,0.214791087,0.191708955,0.088688227,,
001HR1,OO,1H,R,2,0.1231919,1.975917021,0.062346697,,,0.37626557,1.809963536,0.207885719,,,,
001HR1,OO,1H,R,3,0.520135037,8.542616185,0.06088709,,,0.619768221,2.219855143,0.279193092,,,,
002HC1,OO,2H,C,1,0.848255234,9.861583578,0.086016128,,,1.672772553,1.880188111,0.889683614,0.08194954,0.016507877,0.143433022,0.047146013
002HC1,OO,2H,C,2,0.74891514,1.243730875,0.602152085,,,2.287414862,1.139272301,2.007785899,,,,
002HC1,OO,2H,C,3,1.424162045,4.575273641,0.311273632,,,1.696963892,1.188915023,1.427321431,,,,
002HR1,OO,2H,R,1,0.255034895,8.749560117,0.029148311,,,0.502932792,1.668172133,0.301487348,0.182536013,0.162703,,
002HR1,OO,2H,R,2,0.180327869,1.062472678,0.169724712,,,0.550776216,0.973237634,0.565921618,,,,
002HR1,OO,2H,R,3,0.591994213,2.773371613,0.213456505,,,0.705392204,0.7206789,0.978788478,,,,
004HC1,OO,4H,C,1,1.307876371,4.33431085,0.301749555,,,2.579152603,0.826370295,3.12106161,0.016240237,0.00196698,0.012926742,0.001585671
004HC1,OO,4H,C,2,1.096070395,1.505504113,0.728042113,,,3.347732712,1.379059707,2.427547331,,,,
004HC1,OO,4H,C,3,1.659271763,1.888390454,0.878669853,,,1.977109472,0.490710711,4.0290734,,,,
004HR1,OO,4H,R,1,0.176071785,5.135483871,0.034285335,,,0.347216306,0.979120203,0.354620714,0.115611567,0.112777252,,
004HR1,OO,4H,R,2,0.053037608,0.910463776,0.058253398,,,0.161993005,0.833995668,0.194237226,,,,
004HR1,OO,4H,R,3,0.040993489,2.089538848,0.019618438,,,0.048845896,0.542980447,0.089958849,,,,
00MC1,OO,M,C,1,0.451944167,2.706158358,0.16700581,,,0.891240948,0.515950276,1.727377596,0.009014586,0.015619145,0.003592868,0.019320765
00MC1,OO,M,C,2,0.3719865,1.395501331,0.266561193,,,1.136160029,1.278295848,0.888808355,,,,
00MC1,OO,M,C,3,0.975162768,4.06226449,0.240053982,,,1.161957667,1.055606213,1.100749174,,,,
00MR1,OO,M,R,1,0.125224327,2.058651026,0.060828341,,,0.246944326,0.392497934,0.62916083,0.411872214,0.437099093,,
00MR1,OO,M,R,2,0.071359691,0.848229543,0.084127807,,,0.217954225,0.776988369,0.280511567,,,,
00MR1,OO,M,R,3,0.169278997,2.685088821,0.063044096,,,0.201704818,0.697738035,0.289083879,,,,
S00HC1,S0,0H,C,1,0.355633101,6.568914956,0.054138789,,,0.701314022,1.252415061,0.559969329,,,,
S00HC1,S0,0H,C,2,0.129701061,1.071454119,0.121051437,,,0.39614653,0.981464741,0.403627877,,,,
S00HC1,S0,0H,C,3,0.382927417,5.838686524,0.065584514,,,0.456278134,1.517221192,0.300732772,,,,
S01HC1,S0,1H,C,1,0.713958126,5.049853372,0.141381952,,,1.40793656,0.962794078,1.462344432,0.03824689,0.000898398,0.044994091,0.000720654
